235721	Kanyala	Kanyala		-9.71338	33.23467	P	PPL	MW		N	04			0		1280	Africa/Blantyre	2011-06-06
235722	Kanya	Kanya		-9.66667	33.26667	H	STM	MW		N	04			0		1308	Africa/Blantyre	2011-03-10
235723	Kanowa	Kanowa		-9.55864	33.23454	P	PPL	MW		N	04			0		1337	Africa/Blantyre	2011-06-06
235724	Kanga River	Kanga River	Kanga River,Kanga Stream	-9.49441	33.15288	H	STM	MW		N	04			0		1274	Africa/Blantyre	2012-01-18
235725	Kameme	Kameme	Kamane,Kameme	-9.56667	33.08333	P	PPL	MW		N	04			0		1438	Africa/Blantyre	2012-01-18
235726	Kamanura Hill	Kamanura Hill		-9.83333	33.53333	T	MT	MW		N	04			0		1167	Africa/Blantyre	2011-03-10
235727	Kalenje River	Kalenje River	Kalenje River,Kawenji	-9.75573	33.52375	H	STM	MW		N	04			0		1204	Africa/Blantyre	2012-01-18
235728	Kafumbo	Kafumbo		-9.6	33.4	H	STM	MW		N	04			0		1170	Africa/Blantyre	2011-03-10
235729	Kafora	Kafora		-9.58956	33.26386	P	PPL	MW		N	04			0		1325	Africa/Blantyre	2011-06-06
235730	Kafiga	Kafiga		-9.61667	33.51667	H	STM	MW		N	04			0		1169	Africa/Blantyre	2011-03-10
235731	James	James		-9.60027	33.05194	P	PPL	MW		N	04			0		1346	Africa/Blantyre	2011-06-06
235732	Ipulukutu	Ipulukutu		-9.63735	33.40944	P	PPL	MW		N	04			0		1706	Africa/Blantyre	2011-06-06
235733	Ipogorro	Ipogorro		-9.51667	33.33333	H	STM	MW		N	04			0		1247	Africa/Blantyre	2011-03-10
235734	Ipenza	Ipenza		-9.47155	33.11613	S	SCH	MW		N	04			0		1292	Africa/Blantyre	2011-06-06
235735	Igembe	Igembe	Igembe,Yembe Hill	-9.71569	33.84471	T	MT	MW		N	08			0		578	Africa/Blantyre	2012-01-18
235736	Ibanda	Ibanda	Ibanda,Wanda Hill	-9.71667	33.43333	T	MT	MW		N	04			0		1639	Africa/Blantyre	2012-01-18
235738	Fwira	Fwira		-9.91667	33.95	H	STM	MW		N	08			0		478	Africa/Blantyre	2011-03-10
235739	Fundi	Fundi		-9.73333	33.91667	P	PPL	MW		C	09			0		476	Africa/Blantyre	2013-02-08
235740	Foroka	Foroka		-9.73333	33.43333	P	PPL	MW		N	04			0		1479	Africa/Blantyre	2011-03-10
235741	Fonka	Fonka		-9.63541	33.24846	P	PPL	MW		N	04			0		1340	Africa/Blantyre	2011-06-06
235742	Firaghule	Firaghule		-9.9	33.76667	T	HLL	MW		N	08			0		683	Africa/Blantyre	2011-03-10
235743	Conga	Conga		-9.65	33.38333	P	PPL	MW		N	04			0		1474	Africa/Blantyre	2011-03-10
235744	Ciwanga	Ciwanga		-9.42823	33.00371	T	HLL	MW		N	04			0		1854	Africa/Blantyre	2011-06-06
235745	Chuna	Chuna	Chuna,Chuua	-9.65	33.48333	H	STM	MW		N	04			0		1388	Africa/Blantyre	2012-01-18
235746	Chovwe	Chovwe		-9.71667	33.56667	H	STM	MW		N	04			0		1253	Africa/Blantyre	2011-03-10
235747	Chiwanda	Chiwanda		-9.70864	33.48895	P	PPL	MW		N	04			0		1577	Africa/Blantyre	2011-06-06
235748	Chiuwe	Chiuwe		-9.73333	33.56667	H	STM	MW		N	04			0		1046	Africa/Blantyre	2011-03-10
235749	Chitipa District	Chitipa District	Chitipa,Chitipa District	-9.92727	33.42541	A	ADM2	MW		N	04			144179		1420	Africa/Blantyre	2011-03-10
235750	Chitipa	Chitipa	Chitipa,FWCT,Fort Hill	-9.7	33.26667	S	AIRF	MW		N	04			0		1281	Africa/Blantyre	2012-01-18
235751	Chitipa	Chitipa	Chipita,Chitipa,Fort Hill	-9.70237	33.26969	P	PPLA2	MW		N	04			8824		1286	Africa/Blantyre	2011-04-25
235752	Chitete	Chitete		-9.64056	33.56647	P	PPL	MW		N	04			0		1371	Africa/Blantyre	2011-06-06
235753	Chisitu Hill	Chisitu Hill		-9.8818	33.47232	T	MT	MW		N	04			0		1649	Africa/Blantyre	2011-06-06
235754	Chishimu	Chishimu		-9.56667	33.28333	P	PPL	MW		N	04			0		1353	Africa/Blantyre	2011-03-10
235755	Chisenga	Chisenga		-9.96188	33.43124	H	STM	MW		N	04			0		1400	Africa/Blantyre	2011-06-06
235756	Chisenga	Chisenga		-9.97108	33.38896	P	PPL	MW		N	04			0		1565	Africa/Blantyre	2011-06-06
235757	Chirunge	Chirunge		-9.58333	33.6	H	STM	MW		N	04			0		871	Africa/Blantyre	2011-03-10
235758	Chinyengwe	Chinyengwe		-9.65	33.48333	H	STM	MW		N	04			0		1388	Africa/Blantyre	2011-03-10
235759	Chinunka	Chinunka		-9.65	33.38333	H	STM	MW		N	04			0		1474	Africa/Blantyre	2011-03-10
235760	Chinunka	Chinunka		-9.64718	33.37344	P	PPL	MW		N	04			0		1193	Africa/Blantyre	2011-06-06
235761	Chilingi	Chilingi		-9.55	33.03333	P	PPL	MW		N	04			0		1423	Africa/Blantyre	2011-03-10
